0.003552 3:1 4:4 8:3 15:3 
0.006494 3:1 4:4 8:4 14:3 
0.006700 3:1 4:4 8:4 13:5 
0.005331 3:1 4:4 8:3 14:3 
0.005242 3:1 4:4 8:4 13:3 
0.008326 3:1 4:4 8:4 14:2 
0.008204 3:1 4:4 8:1 14:5 
0.007044 3:1 4:4 8:1 15:2 
0.004174 3:1 4:4 8:2 13:1 
0.005417 3:1 4:4 8:1 13:5 
0.020092 0:8 7:2 11:0 13:1 
0.012484 0:8 7:2 11:0 12:1 
0.020588 0:8 7:2 11:1 14:1 
0.022333 0:8 7:2 11:0 12:2 
0.009217 0:8 7:2 11:0 14:1 
0.020321 0:8 7:2 11:1 12:1 
0.004695 2:1 7:5 11:1 14:4 
0.009642 2:1 7:5 11:3 13:3 
0.004815 2:1 7:5 11:2 12:4 
0.004966 2:1 7:5 11:2 12:3 
0.003035 2:1 7:5 11:4 12:1 
0.007262 2:1 7:5 11:0 14:5 
0.001420 2:1 7:5 11:4 13:2 
0.000760 2:1 7:5 11:1 12:5 
0.038491 2:1 7:5 11:0 13:5 
0.003883 2:1 7:5 11:2 14:3 
0.007148 2:1 7:5 11:3 13:2 
0.007447 2:1 7:5 11:3 12:2 
0.001678 2:1 7:5 11:1 12:4 
0.011535 2:1 7:5 11:1 13:1 
0.024831 2:1 7:5 11:0 13:2 
0.005350 2:1 7:5 11:4 14:1 
0.003904 2:1 7:5 11:1 13:3 
0.008166 2:1 7:5 11:2 13:1 
0.029516 2:1 7:5 11:0 13:1 
0.004861 2:1 7:5 11:3 14:1 
0.027227 2:1 7:5 11:0 13:4 
0.018143 2:1 7:5 11:0 12:1 
0.017608 2:1 7:5 11:0 14:2 
0.006518 2:1 7:5 11:1 14:2 
0.015106 2:1 7:5 11:3 14:2 
0.007410 2:1 7:5 11:2 14:2 
0.013301 2:1 7:5 11:0 14:3 
0.007741 2:1 7:5 11:3 12:1 
0.008176 2:1 7:5 11:1 13:4 
0.005910 2:1 7:5 11:1 12:1 
0.001638 2:1 7:5 11:2 13:3 
0.018249 2:1 7:5 11:0 12:3 
0.019148 2:1 7:5 11:0 12:2 
0.014771 2:1 7:5 11:0 14:1 
0.006128 2:1 7:5 11:1 14:1 
0.006172 2:1 7:5 11:2 14:1 
0.005302 2:1 7:5 11:2 13:2 
0.006445 2:1 7:5 11:3 13:1 
0.003669 2:1 7:5 11:1 12:3 
0.008723 2:1 7:5 11:0 12:5 
0.010494 2:1 7:5 11:2 12:1 
0.036008 2:1 7:5 11:0 13:3 
0.007279 2:1 7:5 11:1 13:2 
0.006701 2:1 7:5 11:1 14:3 
0.011808 2:1 7:5 11:0 14:4 
0.006747 2:1 7:5 11:1 12:2 
0.009847 2:1 7:5 11:2 12:2 
0.005464 2:1 7:5 11:2 12:7 
0.013679 2:1 7:5 11:0 12:4 
0.015901 0:2 7:7 11:0 14:1 
0.040756 0:2 7:7 11:0 13:2 
0.030709 0:2 7:7 11:0 12:2 
0.004568 0:2 7:7 11:1 12:1 
0.016016 0:2 7:7 11:0 14:2 
0.028355 0:2 7:7 11:1 13:2 
0.007975 0:2 7:7 11:1 14:1 
0.009091 0:2 7:7 11:1 13:1 
0.002714 0:2 7:7 11:1 12:2 
0.036597 0:2 7:7 11:0 13:1 
0.020038 0:2 7:7 11:0 12:1 
0.016582 2:1 4:1 8:0 13:7 
0.001797 2:1 4:1 8:4 15:6 
0.005500 2:1 4:1 8:1 14:7 
0.007246 2:1 4:1 8:6 15:3 
0.003110 2:1 4:1 8:8 14:1 
0.023052 2:1 4:1 8:4 14:5 
0.004003 2:1 4:1 8:7 15:3 
